order	family	genus	species	binomial	bmass	blength	homerangekm2	homerangeindkm2	popdens.n-km2	gr_area-km2	gr_maxlat-dd
Artiodactyla	Bovidae	Ovis	dalli	Ovis dalli	70194.13	1415.02	10.15	14.38	-999	1014237.16	69.14
Pholidota	Manidae	Manis	temminckii	Manis temminckii	11943.74	488.71	10.22	9.59	-999	7184102.64	18.5
Primates	Hominidae	Pan	troglodytes	Pan troglodytes	45000	796.09	10.85	12.5	1.63	1898947.6	13.13
Carnivora	Viverridae	Genetta	genetta	Genetta genetta	1756.17	552.44	10.9	11.54	1.88	17766920.65	49.9
Carnivora	Mustelidae	Eira	barbara	Eira barbara	4134.99	612.64	11.4	10.7	1.77	13411787.9	24.75
Perissodactyla	Rhinocerotidae	Diceros	bicornis	Diceros bicornis	995940.54	2849.99	11.48	13.24	0.11	11451482.02	13.52
Carnivora	Herpestidae	Suricata	suricatta	Suricata suricatta	729.99	285.71	11.76	14.06	-999	1720747.74	-15.77
Perissodactyla	Rhinocerotidae	Dicerorhinus	sumatrensis	Dicerorhinus sumatrensis	1046156.04	2769.99	11.87	12.72	1.05	594010.97	6.73
Carnivora	Canidae	Canis	mesomelas	Canis mesomelas	8247.3	707.27	11.93	12.82	0.74	6248779.95	16.47
Carnivora	Mustelidae	Martes	zibellina	Martes zibellina	1173.91	449.9	12.71	15.2	0.07	6492749.47	71.47
Carnivora	Canidae	Vulpes	lagopus	Vulpes lagopus	3584.37	564.81	14.1	15.08	0.1	16988732.37	83.62
Artiodactyla	Cervidae	Rucervus	duvaucelii	Rucervus duvaucelii	171223.86	1500	14.11	20	11.24	255737.11	29.44
Carnivora	Mustelidae	Lontra	canadensis	Lontra canadensis	8087.42	683.1	14.18	16.95	1.12	11887021.15	70.25
Carnivora	Mustelidae	Martes	pennanti	Martes pennanti	3750	749.51	14.89	15.96	0.17	3481123.82	61.76
Primates	Cercopithecidae	Papio	cynocephalus	Papio cynocephalus	15822.15	-999	14.95	-999	5.86	3953480.36	6.99
Artiodactyla	Bovidae	Gazella	dorcas	Gazella dorcas	15635.95	965.68	15.52	-999	2.3	10374953.94	37.34
Perissodactyla	Equidae	Equus	caballus	Equus caballus	403598.53	-999	15.62	16.32	-999	-999	-999
Primates	Cercopithecidae	Papio	hamadryas	Papio hamadryas	14007.08	675	17.37	-999	2.1	639689.34	17.42
Artiodactyla	Bovidae	Oreamnos	americanus	Oreamnos americanus	72105.4	1297.33	18.17	17.04	-999	1137827.98	64.61
Carnivora	Felidae	Panthera	pardus	Panthera pardus	52399.99	1377.71	18.78	21.08	0.07	29348601.36	48.36
Carnivora	Canidae	Canis	latrans	Canis latrans	11989.1	872.39	18.88	19.91	0.25	17099094.3	71.39
Artiodactyla	Bovidae	Ovis	canadensis	Ovis canadensis	74644.87	1565.5	18.94	15.96	1.48	2457850.19	57.15
Perissodactyla	Rhinocerotidae	Ceratotherium	simum	Ceratotherium simum	2285939.43	2586.81	19.09	19	0.47	3184467.13	9.74
Primates	Cercopithecidae	Rhinopithecus	bieti	Rhinopithecus bieti	11000.54	718.26	20.4	-999	2.5	23060.04	30.1
Carnivora	Mustelidae	Lutra	lutra	Lutra lutra	8868.69	687.94	21.31	25.48	0.85	25877469.45	64.16
Carnivora	Canidae	Chrysocyon	brachyurus	Chrysocyon brachyurus	23325	1245.72	21.36	22.62	-999	5038801.01	-3.02
Carnivora	Hyaenidae	Crocuta	crocuta	Crocuta crocuta	63369.98	1300.11	21.93	53.84	0.12	14790149.69	18.59
Carnivora	Felidae	Uncia	uncia	Uncia uncia	32500	1146.57	22.72	24.07	0.07	2744453.48	53.26
Primates	Cercopithecidae	Rhinopithecus	roxellana	Rhinopithecus roxellana	13456.8	647.1	24.28	-999	4.6	311105.7	35.31
Primates	Cercopithecidae	Mandrillus	sphinx	Mandrillus sphinx	16685.06	758.94	26.34	-999	21.4	287896.72	4.49
Primates	Hominidae	Pan	paniscus	Pan paniscus	35119.95	753.43	27.93	-999	2	412936.11	1.67
Primates	Cercopithecidae	Erythrocebus	patas	Erythrocebus patas	7966.3	665	28.24	40.79	0.26	6948334.33	19.93
Carnivora	Canidae	Vulpes	rueppellii	Vulpes rueppellii	3249.97	458.63	29.93	31.7	-999	11669070.9	37.7
Carnivora	Felidae	Lynx	canadensis	Lynx canadensis	9682.82	702.3	30.6	32.79	0.05	8252985.31	70.56
Carnivora	Felidae	Lynx	rufus	Lynx rufus	6374.47	689.81	31.2	33.36	0.1	9702533.02	58.81
Carnivora	Ursidae	Ursus	americanus	Ursus americanus	110500	1380.87	31.25	34.07	0.72	9650153.48	71.58
Carnivora	Canidae	Cuon	alpinus	Cuon alpinus	15800	987.74	33.64	39.99	0.55	10546280.1	55.54
Proboscidea	Elephantidae	Elephas	maximus	Elephas maximus	3269794.34	1919.2	38.36	28.08	0.53	1429082.59	30.55
Artiodactyla	Tayassuidae	Tayassu	pecari	Tayassu pecari	31798.71	1110	40.97	10.68	1.59	13839052.97	21.6
Carnivora	Hyaenidae	Hyaena	hyaena	Hyaena hyaena	35070.51	1104.7	45.19	47.87	-999	24254343.2	42.12
Sirenia	Dugongidae	Dugong	dugon	Dugong dugon	295000	2550	47.17	52.43	-999	-999	-999
Artiodactyla	Bovidae	Bison	bison	Bison bison	624577.07	2849.24	47.39	65.71	0.28	10388.04	44.97
Carnivora	Felidae	Puma	yagouaroundi	Puma yagouaroundi	6875	701.35	52.35	49.11	0.58	15093388.56	32.89
Carnivora	Felidae	Panthera	onca	Panthera onca	83943.09	1331.62	52.55	57.78	0.05	10500825.25	24.28
Cetacea	Delphinidae	Tursiops	truncatus	Tursiops truncatus	281040.55	3257.91	52.77	84.99	0.2	-999	-999
Carnivora	Felidae	Panthera	leo	Panthera leo	158623.93	1835.16	55.19	103.85	0.11	11237685.34	21.67
Artiodactyla	Cervidae	Cervus	elaphus	Cervus elaphus	240867.13	2136.72	58.42	54.81	2.9	14167735.33	64.59
Artiodactyla	Bovidae	Syncerus	caffer	Syncerus caffer	592665.98	2525.86	63.73	59.79	5.84	11706834.65	15.85
Carnivora	Felidae	Panthera	tigris	Panthera tigris	161914.66	1824.79	64.89	69.69	0.03	2494993.45	47.99
Carnivora	Hyaenidae	Hyaena	brunnea	Hyaena brunnea	42977.93	1198.21	67.3	23.38	0.01	1981470.71	-14.8
Artiodactyla	Cervidae	Alces	alces	Alces alces	461900.76	2930.47	71.75	73.26	0.4	-999	-999
Carnivora	Ursidae	Ursus	maritimus	Ursus maritimus	371703.81	1992.55	77.27	82.99	0.007048404	-999	-999
Cetacea	Delphinidae	Orcinus	orca	Orcinus orca	5628758.66	8652.64	79.24	112.25	-999	-999	-999
Artiodactyla	Giraffidae	Giraffa	camelopardalis	Giraffa camelopardalis	964654.73	4177.03	81.52	99.56	1.23	2791592.69	16.35
Carnivora	Mustelidae	Pteronura	brasiliensis	Pteronura brasiliensis	26000	1137.99	85.85	102.65	-999	8075624.21	9.69
Carnivora	Felidae	Acinonyx	jubatus	Acinonyx jubatus	50577.92	1480.43	88.27	94.38	0.01	10586306.53	37.72
Artiodactyla	Bovidae	Capra	hircus	Capra hircus	47386.47	-999	98.3	47.24	7.58	-999	-999
