id	idpaper	data	fam	sp	spcode	marker	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	diverhaplot	divernucleot	genetdiff	AllelesLocus	Porcpoliloci 	AllelicRichness	FIS 	phi_FT	seedwt
a26	25	duminil	Taxodiaceae	Cunninghamia lanceolata	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0600	NA	NA	NA	NA	NA	4.830
a27	26	duminil	Poaceae	Dactylis glomerata	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.2300	NA	NA	NA	NA	NA	0.850
a28	27	duminil	Orchidaceae	Dactylorhiza maculata	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0990	NA	NA	NA	NA	NA	0.001
a29	28	duminil	Fabaceae	Dicorynia guaianensis	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0430	NA	NA	NA	NA	NA	500.000
a30	29	duminil	Boraginaceae	Eritrichium nanum	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.1870	NA	NA	NA	NA	NA	NA
a31	30	duminil	Myrtaceae	Eucalyptus angustissima complex	NA	NA	Tree	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.1060	NA	NA	NA	NA	NA	1.500
a32	31	duminil	Myrtaceae	Eucalyptus brownii	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0520	NA	NA	NA	NA	NA	0.560
a33	32	duminil	Myrtaceae	Eucalyptus kochii	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0450	NA	NA	NA	NA	NA	2.220
a34	33	duminil	Myrtaceae	Eucalyptus nitens	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.3000	NA	NA	NA	NA	NA	2.800
a35	34	duminil	Myrtaceae	Eugenia uniflora	NA	NA	Tree	birds	bi	b	NA	NA	NA	NA	NA	NA	0.2110	NA	NA	NA	NA	NA	4.000
a36	35	duminil	Fagaceae	Fagus crenata	NA	NA	Tree	mammals	ma	mi	NA	NA	NA	NA	NA	NA	0.0380	NA	NA	NA	NA	NA	178.570
a37	36	duminil	Fagaceae	Fagus sylvatica	NA	NA	Tree	mammals	ma	mi	NA	NA	NA	NA	NA	NA	0.0590	NA	NA	NA	NA	NA	274.100
a38	37	duminil	Oleaceae	Fraxinus excelsior	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0870	NA	NA	NA	NA	NA	76.300
a39	38	duminil	Fabaceae	Gliricidia sepium	NA	NA	Creeper	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.1700	NA	NA	NA	NA	NA	103.000
a40	39	duminil	Fabaceae	Glycine soja	NA	NA	Creeper	mammals	ma	mi	NA	NA	NA	NA	NA	NA	0.4760	NA	NA	NA	NA	NA	48.019
a41	40	duminil	Orchidaceae	Gymnadenia conopsea	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.4500	NA	NA	NA	NA	NA	0.008
a42	41	duminil	Asteraceae	Helianthus annuus	NA	NA	Herb	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.1590	NA	NA	NA	NA	NA	44.500
a43	42	duminil	Asteraceae	Helianthus deserticola	NA	NA	Herb	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.2490	NA	NA	NA	NA	NA	5.300
a44	43	duminil	Asteraceae	Helianthus petiolaris	NA	NA	Herb	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.1940	NA	NA	NA	NA	NA	2.000
a45	44	duminil	Saxifragaceae	Heuchera grossularifolia	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.6710	NA	NA	NA	NA	NA	0.049
a46	45	duminil	Poaceae	Hordeum spontaneum	NA	NA	Herb	epizoochory	ep	ab	NA	NA	NA	NA	NA	NA	0.4840	NA	NA	NA	NA	NA	41.900
a47	46	duminil	Polemoniaceae	Ipomopsis aggregata cplx	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.1450	NA	NA	NA	NA	NA	2.071
a48	47	duminil	Cupressaceae	Juniperus thurifera	NA	NA	Tree	mixed	mix	b	NA	NA	NA	NA	NA	NA	0.3900	NA	NA	NA	NA	NA	126.700
a49	48	duminil	Rhizophoraceae	Kandelia candel	NA	NA	Tree	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.0640	NA	NA	NA	NA	NA	NA
a50	49	duminil	Proteaceae	Lambertia orbifolia	NA	NA	Tree	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.4410	NA	NA	NA	NA	NA	20.000
a51	50	duminil	Pinaceae	Larix sibirica	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0820	NA	NA	NA	NA	NA	9.600
a52	51	duminil	Araceae	Lemna minor	NA	NA	Shrub	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.4070	NA	NA	NA	NA	NA	NA
a53	52	duminil	Magnoliaceae	Liriodendron tulipifera	NA	NA	Tree	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.2110	NA	NA	NA	NA	NA	65.600
a54	53	duminil	Poaceae	Lolium perenne	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.1100	NA	NA	NA	NA	NA	1.790
a55	54	duminil	Poaceae	Lolium rigidum	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.1700	NA	NA	NA	NA	NA	2.280
a56	55	duminil	Myrtaceae	Melaleuca alternifolia cplx	NA	NA	Shrub	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1200	NA	NA	NA	NA	NA	0.590
a57	56	duminil	Magnoliaceae	Michelia formosana	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.4710	NA	NA	NA	NA	NA	119.183
#a58	57	duminil	Brassicaceae	Microthlaspi perfoliatum	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	1.0000	NA	NA	NA	NA	NA	0.400
a59	58	duminil	Fagaceae	Nothofagus nervosa	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0830	NA	NA	NA	NA	NA	16.460
a60	59	duminil	Oleaceae	Olea europaea	NA	NA	Tree	birds	bi	b	NA	NA	NA	NA	NA	NA	0.2470	NA	NA	NA	NA	NA	221.000
a61	60	duminil	Saxifragaceae	Parnassia palustris	NA	NA	Herb	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.1600	NA	NA	NA	NA	NA	0.030
a62	61	duminil	Hydrophyllaceae	Phacelia dubia	NA	NA	Herb	birds	bi	b	NA	NA	NA	NA	NA	NA	0.0200	NA	NA	NA	NA	NA	0.800
