id	idpaper	fam	sp	spcode	marker	nloci	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	npop	nind	meanIndiPop	diverhaplot	divernucleot	FST	AllelesLocus	Porcpoliloci 	AllelicRichness	Ho	He	FIS 	shannon_Hpop	Shanno_Hsp	mantel	coalesc_param	fp	fm	phi_FT	tm	ts	tm-ts	rp	rs	nb	Sp	Fij	distpollen	distgeneflow	Nep	Moranspatialfirstclass	bslope	rt
NA	277	Fabaceae	Dinizia excelsa	DIEXCE	ssrnuc	5	Tree	wind	wi	n	small bees	sbe	wide	rainforest	1	553.0	553.0	NA	NA	NA	20.880	NA	NA	0.651	0.727	NA	NA	NA	NA	NA	NA	NA	NA	0.8610	NA	NA	NA	NA	NA	NA	NA	180.0	NA	NA	NA	NA	NA
267	328	Fabaceae	Dipteryx alata	DIALAT	ssrnuc	8	Tree	mammals	ma	md	large bees	lbe	wide	savanna	25	644.0	25.8	NA	NA	0.270	2.835	NA	2.609	0.356	0.429	0.171	NA	NA	0.4560	0.0809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
388	131	Fabaceae	Dipteryx alata	DIALAT	RAPD	5	Tree	mammals	ma	md	large bees	lbe	wide	savanna	3	90.0	30.0	NA	NA	0.150	NA	58.520	NA	NA	0.314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
389	176	Fabaceae	Dipteryx alata	DIALAT	RAPD	20	Tree	mammals	ma	md	large bees	lbe	wide	savanna	10	309.0	30.9	NA	NA	0.160	0.155	88.900	NA	NA	NA	0.067	NA	NA	0.1200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
420	169	Fabaceae	Dipteryx alata	DIALAT	ssrnuc	9	Tree	mammals	ma	md	large bees	lbe	wide	savanna	3	101.0	33.7	NA	NA	0.800	4.780	96.300	NA	0.341	0.619	0.122	NA	NA	NA	NA	0.3650	NA	NA	0.7110	NA	0.1350	0.6750	0.5000	NA	NA	NA	NA	NA	1.5000	NA	NA	NA
NA	NA	Fabaceae	Dipteryx alata	DIALAT	ssrnuc	4	Tree	mammals	ma	md	large bees	lbe	wide	savanna	1	32.0	32.0	NA	NA	NA	3.000	NA	NA	0.552	0.451	-0.224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.9000	0.0172	0.0590	NA	NA	NA	NA	-0.0162	NA
421	86	Fabaceae	Dipteryx panamensis 	DIPANA	ssrnuc	9	Tree	mammals	ma	md	large bees	lbe	restric	rainforest	4	135.8	543.0	NA	NA	0.050	NA	NA	5.137	NA	0.569	NA	NA	NA	NA	NA	NA	NA	NA	0.8970	0.8510	0.0460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
390	104	Fabaceae	Enterolobium cyclocarpum	ENCYCL	isoz	14	Tree	mammals	ma	mi	large bees	lbe	wide	sdtf	4	410.0	102.5	NA	NA	0.010	NA	85.700	NA	NA	0.220	-0.070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
391	216	Fabaceae	Eperua grandiflora	EPGRAN	isoz	3	Tree	mammals	ma	mi	large bees	lbe	wide	rainforest	1	52.0	52.0	NA	NA	NA	NA	NA	NA	NA	NA	-0.297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0040	0.0210	323.0	9.0	NA	NA	NA	NA
391	216	Fabaceae	Eperua grandiflora	EPGRAN	RAPD	3	Tree	mammals	ma	mi	large bees	lbe	wide	rainforest	1	52.0	52.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.0000	0.0120	0.0300	262.0	NA	NA	NA	NA	NA
